producto_id,nombre_producto,categoria,precio_unitario,stock_disponible,fecha_ingreso
159,Consola de Mezclas USB,Audio,185.0,20.0,2024-06-20
288,Interfaz de Audio USB 2ch,Audio,111.56,2.0,2024-08-13
270,Anillo de Luz 10 Pulgadas,Fotografia,25.73,,
159,Consola de Mezclas USB,Audio,185.0,,2024-06-20
149,Reposapiés Ergonómico,Mobiliario,29.99,70.0,2024-05-25
445,Puntero Presentador Láser,Oficina,22.75,100.0,2025-04-21
336,Repetidor Wi-Fi Dual Band,Redes,27.04,199.0,2024-05-19
353,Filtro de Pantalla Privacidad,Accesorios,34.02,122.0,2024-07-14
122,Mousepad Gamer XL,Accesorios,15.5,250.0,
414,Gabinete PC ATX,,101.61,69.0,2025-03-17
261,Termómetro / Higrómetro Digital,Domotica,13.37,223.0,2025-03-02
377,Filtro de Pantalla Privacidad,Accesorios,35.75,85.0,2024-07-31
292,Lámpara LED Escritorio,Mobiliario,44.91,145.0,2024-07-28
486,Tarjeta de Red Wi-Fi PCIe,Redes,31.38,127.0,2025-03-09
394,Microfono Condensador,Audio,112.48,,2024-07-09
425,Repetidor Wi-Fi Dual Band,Redes,31.42,141.0,2024-10-26
444,Toallitas Microfibra x10,Mantenimiento,8.6,290.0,2024-10-10
358,Auriculares In Ear Streamer,,26.27,120.0,2025-01-13
409,Hub USB-C 7 en 1,Accesorios,34.15,189.0,2024-07-10
250,,Audio,,62.0,2025-03-05
231,Disco Duro Externo 2TB,Almacenamiento,85.85,149.0,2024-03-24
252,,Accesorios,,46.0,2024-07-17
460,Pasta Térmica Alto Rendimiento,Componentes,9.1,318.0,2024-06-01
200,Enchufe Inteligente Medidor Consumo,Domotica,18.5,210.0,2024-10-03
473,Laptop Pro 15,Electronica,1499.49,5.0,2024-09-04
188,Cojín para Asiento Gel,Mobiliario,28.0,100.0,2024-09-03
431,Filtro de Pantalla Privacidad,Accesorios,37.09,110.0,2025-02-16
315,trípode de mesa aluminio,Fotografía,21.89,122.0,2024-08-09
222,Impresora Multifuncional,Oficina,232.29,39.0,2025-03-15
240,Monitor Gaming 27,Electronica,241.22,41.0,2024-07-02
121, Monitor Curvo 34 ,Electrónica,580.0,22.0,2024-03-15
289,Interfaz de Audio USB 2ch,Audio,104.24,0.0,
172,Mouse Gamer 16000 DPI,Accesorios,49.99,95.0,2024-07-22
207,Caja Organizadora Cables XL,Oficina,15.93,138.0,2025-02-21
371,Lector Huella Dactilar USB,Seguridad,29.07,48.0,2025-05-10
449,Monitor Curvo 34,Electronica,556.0,24.0,2024-07-29
181,Unidad de Respaldo UPS 850VA,Componentes,95.0,40.0,2024-08-15
203,Proyector Mini HD,Electronica,140.36,94.0,2024-11-08
